Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_115825_274,-32,NO_RADIO,32,0.0,10.225732419357286,-92.42454528808594,-92.42454528808594,0.0844864845275878,0.1581587791442871,32,,CenterFallback,1,32,0,,,[]
20250720_115825_072,-32,NO_RADIO,32,0.0,10.483025055734217,-92.06598663330078,-92.06598663330078,0.0984778404235839,0.101778507232666,32,,CenterFallback,1,32,0,,,[]
20250720_115825_518,-31,NO_RADIO,32,0.0,10.300817869549393,-92.3190460205078,-92.3190460205078,0.0978531837463378,0.1017098426818847,32,,CenterFallback,1,32,0,,,[]
20250720_115825_719,-31,NO_RADIO,32,0.0,9.657257738195398,-92.8506275177002,-92.8506275177002,0.0951433181762695,0.1580953598022461,32,,CenterFallback,1,32,0,,,[]
20250720_115826_172,-30,51,51,27.6,24.99112800798156,-77.89424133300781,-77.89424133300781,0.0977585315704345,0.1580617427825927,51,51.0,YOLO,1,32,0,24.99112800798156,0.0,[]
20250720_115825_974,-30,NO_RADIO,32,0.0,9.631136781366196,-92.91387939453124,-92.91387939453124,0.095679759979248,0.101712942123413,32,,CenterFallback,1,32,0,,,[]
20250720_115826_631,-29,50,50,26.1,25.581512939792265,-77.30551834106446,-77.30551834106446,0.0970044136047363,0.1581394672393798,50,50.0,YOLO,1,32,0,25.581512939792265,0.0,[]
20250720_115826_430,-29,51,51,27.6,24.840416746544065,-78.13291358947754,-78.13291358947754,0.0980424880981445,0.1017055511474609,51,51.0,YOLO,1,32,0,24.840416746544065,0.0,[]
20250720_115826_888,-28,50,50,26.1,25.40322128211476,-77.54704627990722,-77.54704627990722,0.0977427959442138,0.1018052101135253,50,50.0,YOLO,1,32,0,25.40322128211476,0.0,[]
20250720_115827_088,-28,50,50,26.1,24.959527741486667,-77.78234100341797,-77.78234100341797,0.0975425243377685,0.1580190658569336,50,50.0,YOLO,1,32,0,24.959527741486667,0.0,[]
20250720_115827_806,-27,49,49,24.7,23.90686323967043,-78.89627418518066,-78.89627418518066,0.0970263481140136,0.1016907691955566,49,49.0,YOLO,1,32,0,23.90686323967043,0.0,[]
20250720_115827_547,-27,50,50,26.1,24.0869940665019,-78.72702293395996,-78.72702293395996,0.1001331806182861,0.1581990718841552,50,50.0,YOLO,1,32,0,24.0869940665019,0.0,[]
20250720_115828_264,-26,48,48,23.2,23.546106341912303,-79.24626541137695,-79.24626541137695,0.1023387908935546,0.1016969680786132,48,48.0,YOLO,1,32,0,23.546106341912303,0.0,[]
20250720_115828_007,-26,49,49,24.7,23.51022267158376,-79.20149993896484,-79.20149993896484,0.0979995727539062,0.1581306457519531,49,49.0,YOLO,1,32,0,23.51022267158376,0.0,[]
20250720_115828_720,-25,47,47,21.8,24.56383333142584,-78.22823829650879,-78.22823829650879,0.0998306274414062,0.1017463207244873,47,47.0,YOLO,1,32,0,24.56383333142584,0.0,[]
20250720_115828_470,-25,48,48,23.2,24.6881889680802,-78.2306411743164,-78.2306411743164,0.0908379554748535,0.1581511497497558,48,48.0,YOLO,1,32,0,24.6881889680802,0.0,[]
20250720_115828_923,-24,47,47,21.8,24.10426625415097,-78.65682754516601,-78.65682754516601,0.1102528572082519,0.1581134796142578,47,47.0,YOLO,1,32,0,24.10426625415097,0.0,[]
20250720_115829_193,-24,47,47,21.8,23.917537954342293,-78.8306999206543,-78.8306999206543,0.0971994400024414,0.1016809940338134,47,47.0,YOLO,1,32,0,23.917537954342293,0.0,[]
20250720_115829_649,-23,47,47,21.8,23.353310679557225,-79.3087387084961,-79.3087387084961,0.0954809188842773,0.1017253398895263,47,47.0,YOLO,1,32,0,23.353310679557225,0.0,[]
20250720_115829_393,-23,47,47,21.8,23.531219917137904,-79.2184829711914,-79.2184829711914,0.0965354442596435,0.157989501953125,47,47.0,YOLO,1,32,0,23.531219917137904,0.0,[]
20250720_115830_105,-22,46,46,20.3,23.058876084047768,-79.71927642822266,-79.71927642822266,0.0982778072357177,0.1017303466796875,46,46.0,YOLO,1,32,0,23.058876084047768,0.0,[]
20250720_115829_848,-22,46,46,20.3,24.610568214655203,-78.19184303283691,-78.19184303283691,0.096996784210205,0.158219575881958,46,46.0,YOLO,1,32,0,24.610568214655203,0.0,[]
20250720_115830_757,-21,45,45,18.9,24.16867930445472,-78.65443420410156,-78.65443420410156,0.0980322360992431,0.1582090854644775,45,45.0,YOLO,1,32,0,24.16867930445472,0.0,[]
20250720_115830_552,-21,45,45,18.9,24.535362414442872,-78.14884223937989,-78.14884223937989,0.1016056537628173,0.1017336845397949,45,45.0,YOLO,1,32,0,24.535362414442872,0.0,[]
20250720_115831_014,-20,45,45,18.9,24.283298229946865,-78.47945404052734,-78.47945404052734,0.1054329872131347,0.1017320156097412,45,45.0,YOLO,1,32,0,24.283298229946865,0.0,[]
20250720_115831_223,-20,44,44,17.4,24.8296665669736,-77.87915802001953,-77.87915802001953,0.104860782623291,0.1580650806427002,44,44.0,YOLO,1,32,0,24.8296665669736,0.0,[]
20250720_115831_693,-19,43,43,16.0,25.085879027180923,-77.72912826538087,-77.72912826538087,0.09716796875,0.1581544876098632,43,43.0,YOLO,1,32,0,25.085879027180923,0.0,[]
